company_id,company_name,listing_date,security_name,security_symbol,security_symbol_id,security_type,subsector_name
154,San Miguel Corporation,2012-09-28 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-A""",SMC2A,577,P,8
154,San Miguel Corporation,2012-09-28 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-B""",SMC2B,578,P,8
154,San Miguel Corporation,2012-09-28 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-C""",SMC2C,579,P,8
154,San Miguel Corporation,2015-09-21 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-D""",SMC2D,613,P,8
154,San Miguel Corporation,2015-09-21 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-E""",SMC2E,614,P,8
154,San Miguel Corporation,2015-09-21 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-F""",SMC2F,615,P,8
154,San Miguel Corporation,2016-03-30 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-G""",SMC2G,621,P,8
154,San Miguel Corporation,2016-03-30 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-H""",SMC2H,622,P,8
154,San Miguel Corporation,2016-03-30 00:00:00.000,"SAN MIGUEL CORPORATION SERIES ""2"" PREFERRED SHARES - SUBSERIES ""2-I""",SMC2I,623,P,8
154,San Miguel Corporation,2010-12-08 00:00:00.000,"SAN MIGUEL CORPORATION PREF. SERIES ""1""",SMCP1,562,P,8
151,"San Miguel Food and Beverage, Inc.",1973-04-02 00:00:00.000,"San Miguel Food and Beverage, Inc.",FB,161,S,4
151,"San Miguel Food and Beverage, Inc.",2011-03-03 00:00:00.000,"San Miguel Food and Beverage, Inc. - Preferred",FBP,565,P,4
151,"San Miguel Food and Beverage, Inc.",2015-03-12 00:00:00.000,"San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ""2""",FBP2,610,P,4
156,Seafront Resources Corporation,1974-05-07 00:00:00.000,SEAFRONT RESOURCES CORPORATION,SPM,223,S,8
32,Security Bank Corporation,1995-06-08 00:00:00.000,SECURITY BANK CORPORATION,SECB,114,S,1
157,Semirara Mining and Power Corporation,1983-11-28 00:00:00.000,Semirara Mining and Power Corporation,SCC,396,S,17
218,"Shang Properties, Inc.",1991-06-13 00:00:00.000,"SHANG PROPERTIES, INC.",SHNG,301,S,9
160,"Solid Group, Inc.",1948-04-26 00:00:00.000,"SOLID GROUP, INC.",SGI,224,S,8
41,"Sta. Lucia Land, Inc.",1987-09-14 00:00:00.000,"STA. LUCIA LAND, INC.",SLI,417,S,9
164,Steniel Manufacturing Corporation,1993-11-22 00:00:00.000,STENIEL MANUFACTURING CORPORATION,STN,249,S,7
78,Sun Life Financial Inc.,2000-03-24 00:00:00.000,"SUN LIFE FINANCIAL, INC.",SLF,122,S,2
73,"Suntrust Home Developers, Inc.",1959-02-11 00:00:00.000,"SUNTRUST HOME DEVELOPERS, INC.",SUN,254,S,9
479,Supercity Realty Development Corporation,2003-12-19 00:00:00.000,SUPERCITY REALTY DEVELOPMENT CORPORATION,SRDC,513,S,5
165,"Swift Foods, Inc.",1994-11-15 00:00:00.000,"SWIFT FOODS, INC.",SFI,402,S,4
165,"Swift Foods, Inc.",2000-03-17 00:00:00.000,"SWIFT FOODS, INC. - CONVERTIBLE PREFERRED",SFIP,455,P,4
166,"Synergy Grid & Development Phils., Inc.",1972-05-10 00:00:00.000,"SYNERGY GRID & DEVELOPMENT PHILS., INC.",SGP,385,S,8
163,TKC Metals Corporation,2001-07-20 00:00:00.000,TKC METALS CORPORATION,T,418,S,5
478,"The Philippine Stock Exchange, Inc.",2003-12-15 00:00:00.000,"THE PHILIPPINE STOCK EXCHANGE, INC.",PSE,512,S,2
45,The Philodrill Corporation,1969-09-25 00:00:00.000,THE PHILODRILL CORPORATION,OV,341,S,18
650,"Top Frontier Investment Holdings, Inc.",2014-01-13 00:00:00.000,"TOP FRONTIER INVESTMENT HOLDINGS, INC.",TFHI,595,S,8
269,Transpacific Broadband Group Int`l. Inc.,2003-12-12 00:00:00.000,"TRANSPACIFIC BROADBAND GROUP INTERNATIONAL, INC.",TBGI,511,S,12
92,"Unioil Resources & Holdings Company, Inc.",1987-07-27 00:00:00.000,"UNIOIL RESOURCES & HOLDINGS COMPANY, INC.",UNI,227,S,8
167,"Union Bank of the Philippines, Inc.",1992-06-29 00:00:00.000,UNION BANK OF THE PHILIPPINES,UBP,115,S,1
168,United Paragon Mining Corporation,1973-04-02 00:00:00.000,UNITED PARAGON MINING CORPORATION,UPM,334,S,17
124,Universal Robina Corporation,1994-03-25 00:00:00.000,UNIVERSAL ROBINA CORPORATION,URC,167,S,4
65,"Vantage Equities, Inc.",1993-03-30 00:00:00.000,"VANTAGE EQUITIES, INC.",V,135,S,2
123,"Victorias Milling Company, Inc.",1993-11-15 00:00:00.000,"VICTORIAS MILLING COMPANY, INC.",VMC,415,S,4
607,"Vista Land & Lifescapes, Inc.",2007-06-25 00:00:00.000,"VISTA LAND & LIFESCAPES, INC.",VLL,530,S,9
147,"Vistamalls, Inc.",1970-11-17 00:00:00.000,"Vistamalls, Inc.",STR,333,S,9
28,Vitarich Corporation,1995-02-08 00:00:00.000,VITARICH CORPORATION,VITA,168,S,4
79,Vivant Corporation,1994-06-23 00:00:00.000,VIVANT CORPORATION,VVT,133,S,3
46,Vulcan Industrial & Mining Corporation,1970-08-31 00:00:00.000,VULCAN INDUSTRIAL & MINING,VUL,346,S,5
173,"Waterfront Philippines, Incorporated",1995-03-17 00:00:00.000,"WATERFRONT PHILIPPINES, INC.",WPI,228,S,14
90,"Wellex Industries, Incorporated",1958-01-09 00:00:00.000,"WELLEX INDUSTRIES, INC.",WIN,229,S,8
665,"Wilcon Depot, Inc.",2017-03-31 00:00:00.000,"WILCON DEPOT, INC.",WLCON,632,S,26
656,Xurpas Inc.,2014-12-02 00:00:00.000,Xurpas Inc.,X,607,S,21
89,"Zeus Holdings, Inc.",1991-07-15 00:00:00.000,"ZEUS HOLDINGS, INC.",ZHI,232,S,8
85,"iPeople, inc.",1990-01-24 00:00:00.000,"IPEOPLE, INC.",IPO,205,S,15
